,ICHMOKU_alert_1,ICHMOKU_alert_2,ICHMOKU_signal_1,ICHMOKU_signal_1_1,ICHMOKU_signal_2,ICHMOKU_signal_2_1,MACD,MACD_alert,MACD_signal,MACD_signal_1,MACDhist,MACDsignal,SAR,SAR_alert,SAR_signal,SAR_signal_1,base_line_fast,base_line_slow,close,conversion_line_fast,conversion_line_slow,exchange,high,lagging_span,lead_span_A,lead_span_B,low,open,scrip,scrip_name,volume
2021-02-11,,,,,,,2.5979331198834643,,BUY,BUY,10.844012790658457,-8.246079670774993,1836.32016,,BUY,BUY,1992.1,1956.1,2055.7,1992.1,1956.1,NSE,2064.2,1994.65,1938.625,1568.365,1972.25,1980.0,RELIANCE,Reliance Industries Limited,19629549
2021-02-11,,,,,,,43.679291285106046,,BUY,BUY,9.20362179346386,34.475669491642186,1455.41263616896,,BUY,BUY,1589.825,1516.325,1572.35,1589.825,1516.325,NSE,1597.8,1491.3,1395.0,1007.35,1564.2,1582.0,HDFCBANK,HDFC Bank Limited,6823634
2021-02-11,,,,,,,40.74859005006556,,SELL,SELL,-15.702465402570624,56.45105545263618,3052.08732,,BUY,BUY,3187.4,3144.95,3206.0,3187.4,3144.95,NSE,3219.3,3066.8,2868.5,2021.725,3185.05,3215.0,TCS,Tata Consultancy Services Limited,1165499
2021-02-10,,,,BUY,,,-6.847460982047778,,BUY,BUY,4.10962188639183,-10.957082868439608,1833.192,,BUY,BUY,1947.3,1909.8,1974.3,1947.3,1909.8,NSE,1984.75,1991.45,1938.625,1568.365,1927.3,1953.75,RELIANCE,Reliance Industries Limited,9795735
2021-02-10,,,,,,,42.95409595900492,,SELL,SELL,-17.422575844273922,60.37667180327884,3048.134,,BUY,BUY,3187.4,3144.95,3213.3,3187.4,3144.95,NSE,3219.4,3064.85,2856.225,2021.725,3157.3,3185.0,TCS,Tata Consultancy Services Limited,2127681
2021-02-10,,,,,,,44.70021367135291,,BUY,BUY,12.525449628076693,32.17476404327622,1435.8307068544,,BUY,BUY,1587.5500000000002,1498.075,1581.75,1587.5500000000002,1498.075,NSE,1614.85,1463.35,1395.0,1009.5,1567.0,1608.35,HDFCBANK,HDFC Bank Limited,9891275
2021-02-09,,,BUY,BUY,,,-10.515619112410604,TRUE,BUY,SELL,1.4688692276269606,-11.984488340037565,1830.0,TRUE,BUY,SELL,1944.8,1909.8,1956.15,1944.8,1909.8,NSE,1989.6,2047.3,1938.625,1568.365,1952.3,1961.95,RELIANCE,Reliance Industries Limited,9044893
2021-02-09,,,,,,,44.39600604548832,,BUY,BUY,15.352604409231272,29.043401636257048,1414.073007616,,BUY,BUY,1586.825,1486.825,1611.85,1586.825,1486.825,NSE,1628.0,1478.8,1395.0,1012.375,1586.7,1610.0,HDFCBANK,HDFC Bank Limited,9209346
2021-02-09,,,,,,,44.401063923374295,,SELL,SELL,-20.331251840973025,64.73231576434732,3044.1,TRUE,BUY,SELL,3187.4,3159.55,3176.9,3187.4,3159.55,NSE,3245.8,3121.1,2852.35,2021.725,3164.0,3195.0,TCS,Tata Consultancy Services Limited,2657313
2021-02-08,,,,,,,40.297239133268704,,BUY,BUY,15.091988599319475,25.20525053394923,1389.89778624,,BUY,BUY,1564.525,1486.825,1605.25,1564.525,1486.825,NSE,1631.65,1500.15,1395.0,1020.0,1595.7,1620.0,HDFCBANK,HDFC Bank Limited,8722789
